#node	date	numeric date
NODE_0000140	2014-07-15	2014.536619
KR105243_Kenema_2014-07-15	2014-07-15	2014.536619
KR105272_Kenema_2014-08-09	2014-08-09	2014.605065
NODE_0000230	2014-07-12	2014.528405
KR105230_PortLoko_2014-07-12	2014-07-12	2014.528405
NODE_0000231	2014-07-24	2014.562922
KR105273_Kenema_2014-08-10	2014-08-10	2014.607803
NODE_0000232	2014-07-26	2014.568396
KR105279_Moyamba_2014-08-12	2014-08-12	2014.613279
NODE_0000233	2014-08-08	2014.603989
KP184503_Kenema_2014-08-25	2014-08-25	2014.648871
NODE_0000234	2014-08-10	2014.607974
NODE_0000235	2014-08-12	2014.613279
KR105277_Kenema_2014-08-12	2014-08-12	2014.613279
NODE_0000236	2014-08-13	2014.616016
KR105280_Kenema_2014-08-13	2014-08-13	2014.616016
KR105278_Kenema_2014-08-13	2014-08-13	2014.616016
NODE_0000237	2014-08-11	2014.610541
KR105276_Kenema_2014-08-11	2014-08-11	2014.610541
NODE_0000238	2014-08-13	2014.616180
KR653251_Kenema_2014-08-22	2014-08-22	2014.640657
NODE_0000239	2014-08-14	2014.618754
KR105284_Kenema_2014-08-14	2014-08-14	2014.618754
KR105283_Kenema_2014-08-14	2014-08-14	2014.618754
NODE_0000004	2014-05-31	2014.414950
KR105227_Kenema_2014-07-11	2014-07-11	2014.525667
NODE_0000018	2014-06-18	2014.463188
KR105204_Kenema_2014-06-19	2014-06-19	2014.465435
KR105237_Kenema_2014-07-14	2014-07-14	2014.533881
NODE_0000038	2014-06-16	2014.457221
KR817244_Kailahun_2014-07-12	2014-07-12	2014.528405
KM233102_Kailahun_2014-06-16	2014-06-16	2014.457221
NODE_0000031	2014-07-03	2014.506482
KR105268_Kenema_2014-08-05	2014-08-05	2014.594114
NODE_0000283	2014-07-05	2014.509240
KR105213_Kenema_2014-07-05	2014-07-05	2014.509240
NODE_0000033	2014-08-04	2014.591376
KR105266_Kenema_2014-08-04	2014-08-04	2014.591376
KR105269_Kenema_2014-08-05	2014-08-05	2014.594114
NODE_0000000	2014-08-02	2014.588324
KR105274_Unk_2014-08-10	2014-08-10	2014.607803
NODE_0000317	2014-08-07	2014.601252
KR105300_Kenema_2014-08-24	2014-08-24	2014.646133
NODE_0000284	2014-08-18	2014.629706
KR105299_Pujehun_2014-08-18	2014-08-18	2014.629706
NODE_0000285	2014-08-19	2014.632444
KR105298_Kenema_2014-08-19	2014-08-19	2014.632444
MH607892_WAR_2014-08-26	2014-08-26	2014.651608
NODE_0000012	2014-07-18	2014.546494
KR653239_WesternRural_2014-08-22	2014-08-22	2014.640657
KR105281_Unk_2014-08-13	2014-08-13	2014.616016
KR105289_Unk_2014-08-15	2014-08-15	2014.621492
NODE_0000015	2014-08-04	2014.591376
KR105267_Moyamba_2014-08-04	2014-08-04	2014.591376
KR105297_Moyamba_2014-08-17	2014-08-17	2014.626968
NODE_0000040	2014-06-18	2014.464087
KR105258_Kailahun_2014-07-21	2014-07-21	2014.553046
NODE_0000041	2014-07-11	2014.525775
KR105252_Kailahun_2014-07-19	2014-07-19	2014.547570
NODE_0000286	2014-07-12	2014.528604
NODE_0000287	2014-07-13	2014.531306
KR105295_Kenema_2014-08-17	2014-08-17	2014.626968
NODE_0000288	2014-07-14	2014.533881
KR105235_Kailahun_2014-07-14	2014-07-14	2014.533881
KR105232_Kenema_2014-07-14	2014-07-14	2014.533881
NODE_0000042	2014-08-03	2014.588638
KR105263_Kenema_2014-08-03	2014-08-03	2014.588638
NODE_0000043	2014-08-13	2014.616180
MH607894_Tonkolili_2014-08-26	2014-08-26	2014.651608
NODE_0000289	2014-08-14	2014.618754
KR105287_Unk_2014-08-14	2014-08-14	2014.618754
KR105288_Unk_2014-08-14	2014-08-14	2014.618754
NODE_0000318	2014-06-04	2014.426027
KR105206_Kenema_2014-06-21	2014-06-21	2014.470910
NODE_0000319	2014-06-06	2014.432337
NODE_0000005	2014-06-24	2014.479670
KR105226_Kailahun_2014-07-11	2014-07-11	2014.525667
